Home_Losses_10_Gen_Form,Away_EMA_7_Gen_Form,HomeTeam_Spec_SMA_10_Form,AwayTeam_Spec_SMA_10_Form,AwayTeam_Spec_Wins_10_Form,Home_SMA_7_Gen_Goals_Pro,HomeTeam_Spec_EMA_5_Goals_Suffered,HomeTeam_Spec_EMA_10_Goals_Suffered,AwayTeam_Spec_SMA_3_Corners_Against,AwayTeam_Spec_EMA_7_Fouls_Against,AwayTeam_Spec_SMA_7_Yellows_Against,Home_SMA_5_Gen_ShotsTarget_Pro,Away_EMA_7_Gen_ShotsTarget_Against,Home_EMA_7_Gen_Shots_Pro,Home_SMA_5_Gen_Shots_Against,Away_SMA_7_Gen_Shots_Against,Home_EMA_10_Gen_GD,Away_EMA_5_Gen_GD,AwayTeam_Spec_EMA_10_GD,Home_SMA_7_Gen_Clean_Sheet,HomeTeam_Spec_EMA_10_Clean_Sheet,AwayTeam_Spec_EMA_3_Clean_Sheet,Away_EMA_7_Gen_FTS,Avg_Odds_Home,Avg_Odds_Away,FTR
5.0,-0.206374352535762,0.1,0.4,7.0,1.2857142857142858,0.7136419968132316,1.0001955398831357,7.333333333333333,8.575879821061168,1.2857142857142858,4.4,5.249641320653579,9.543031497782286,10.0,10.428571428571429,-0.3870923348745727,-0.1226608164116293,0.8717706275093495,0.2857142857142857,0.3911826581680522,0.5421245421245421,0.3915199475915962,2.45,2.47,A
4.0,-0.0729308514933705,0.5,-0.6,1.0,1.4285714285714286,0.940285210081154,0.8156722437546872,9.333333333333334,10.766986000975638,0.4285714285714285,5.6,5.83766965379245,11.549884242504737,10.4,13.428571428571429,-0.6581723601424574,0.1363046661426204,-1.2342155061357756,0.0,0.2962177533035099,0.0078144078144078,0.2632360345603373,1.472,5.64,A
5.0,0.7030948655504756,-0.1,0.6,6.0,1.1428571428571428,0.922877812437778,1.0183919481408423,4.666666666666667,13.452554604371583,3.2857142857142856,3.8,4.269685918149215,8.850878008660976,15.8,8.0,-0.7818017739959362,1.4583014604300988,1.1571668131762227,0.2857142857142857,0.4440991591752244,0.0918866080156402,0.0329082522084821,4.96,1.592,A
6.0,-0.3421076277012355,0.1,-0.5,1.0,0.5714285714285714,0.8371264256220767,0.8140697116598198,5.666666666666667,12.133457816062457,1.0,4.8,5.697784043765777,10.364645933125678,9.6,11.0,-0.833162965359659,-0.9313497070959038,-1.2468784548606715,0.1428571428571428,0.5511121471010747,0.0312652662432828,0.6882952003757444,2.092,2.986,D
3.0,0.1219185173915507,0.3,-0.3,2.0,1.0,0.9316386729792862,1.0015178546945525,5.666666666666667,12.75815483437665,1.5714285714285714,4.0,4.238172630863603,9.937185371862189,10.8,8.571428571428571,-0.2725020457440417,0.1505436072575394,-0.4756278202278208,0.1428571428571428,0.217285035854009,0.7933561309233024,0.3494616888015404,2.122,2.9200000000000004,D
4.0,0.6241438097916754,0.5,0.1,4.0,1.2857142857142858,0.7457381252891221,0.5945883164232248,6.333333333333333,12.7420663526363,1.2857142857142858,3.8,3.558984289425081,7.4585424804312,12.4,9.285714285714286,-0.1876392086105829,1.2958928817199196,0.284795601064617,0.4285714285714285,0.60969918163502,0.6278388278388278,0.139439742743387,2.3600000000000003,2.56,A
3.0,0.0254833282599042,0.7,-0.6,0.0,1.2857142857142858,1.689920260929752,1.3326399534903757,8.333333333333334,13.619259341867894,0.7142857142857143,4.2,7.306035253635388,8.797949527166052,8.6,12.714285714285714,0.1586600204732907,-0.1779059763535547,-1.1131960076675185,0.1428571428571428,0.2446566558750011,0.5002442598925256,0.2044168577841793,1.386,6.76,D
5.0,-0.2841407251449703,0.1,-0.2,3.0,1.0,0.8023860787326027,0.8325611590181022,3.6666666666666665,11.9020324572826,1.0,5.6,5.043866140972882,10.235983815976669,8.6,9.285714285714286,-0.2002964618788968,-1.164672266034022,-1.1643011054688144,0.4285714285714285,0.5237894211775531,0.0488519785051294,0.2045240418862266,2.1625,2.8125,A
4.0,-0.1471508199693963,-0.3,-0.4,1.0,1.7142857142857142,1.4569186574452169,1.4469603299505551,4.333333333333333,10.419590755134797,1.1428571428571428,5.0,5.00994047049601,10.981366715913778,10.8,10.142857142857142,0.7098646858085744,-0.2417715257685314,-0.9143345118888632,0.2857142857142857,0.2027148529942085,0.0312576312576312,0.4962336992327023,1.8325,3.525,D
3.0,0.4106495551945198,0.5,0.3,5.0,0.7142857142857143,0.8301036323469456,0.771601521729195,5.666666666666667,12.98633038240726,1.2857142857142858,3.6,5.254504862261166,9.066159788891444,7.8,10.714285714285714,0.0915679491808014,1.0770387366655227,0.2750402707747981,0.5714285714285714,0.4273642125538933,0.3888617489008305,0.0272454095325561,2.1875,2.725,H
2.0,-0.320444835219565,0.1,-0.5,2.0,1.1428571428571428,0.9461618855618822,1.0024919016714964,6.0,14.817826637096834,1.2857142857142858,4.8,4.109179511491541,8.069963529263857,12.8,10.285714285714286,-0.3367175088036598,-0.6996970186980431,-1.3507860402671124,0.4285714285714285,0.3063394954119466,0.0019540791402051,0.6790490529444448,1.975,3.2625,A
5.0,-0.5090872458314932,0.1,-0.6,2.0,1.1428571428571428,1.3614332173434849,1.2114290577755475,4.666666666666667,10.724304775740654,0.2857142857142857,5.2,8.062111764849755,10.924509367967586,10.4,16.714285714285715,-0.3980322474721044,-0.9638423090635992,-1.3517153797944297,0.2857142857142857,0.4192550260844569,0.0312652662432828,0.0517534973394328,1.5075,5.3,H
4.0,-0.4629170350346996,-0.4,-0.7,1.0,2.0,0.806709347283537,1.034137523025657,9.0,11.716101940350644,1.1428571428571428,7.0,4.699711459963517,13.001622651096936,10.4,9.857142857142858,0.4791375408934976,-1.634376955181724,-1.3184035128927376,0.1428571428571428,0.2958338592876789,0.0002442002442002,0.2985315746032994,1.6775,4.1575,H
5.0,0.1896110124789385,0.1,-0.4,2.0,1.2857142857142858,0.7028005170185266,0.7870335497158784,5.0,7.777262149697383,1.0,3.8,4.628714859135686,8.37029633775174,11.8,9.714285714285714,-0.0508871599861799,0.5297346956184098,-0.186110102799388,0.1428571428571428,0.4963603133241608,0.0,0.1415975007916026,1.965,3.2375,D
6.0,0.0516285380430534,0.1,-0.2,2.0,1.5714285714285714,1.134078435627845,1.1723385763666567,6.333333333333333,12.2945331735852,1.4285714285714286,4.2,6.344890344067023,9.324378801382856,10.4,12.142857142857142,0.1882375025376164,0.09999189088515,-0.1694355569036185,0.1428571428571428,0.3981411854563833,0.0039081582804103,0.0272076417169908,2.2325,2.6625000000000005,H
0.0,-0.5850036501320389,0.8,0.2,5.0,2.142857142857143,0.8769230769230769,0.8195544554455446,10.333333333333334,9.484833662952097,1.0,8.8,7.082949446376021,13.747216645486098,7.8,15.0,1.3175185625385026,-0.6802149038004419,-0.1972331045597532,0.0,0.1804455445544554,0.0332355816226783,0.2119450956142433,1.46,5.875,H
1.0,-0.3748420526350148,0.6,-0.5,2.0,1.8571428571428568,0.936744356050006,0.946987932865274,6.0,9.810200867610192,0.7142857142857143,7.0,5.107445305430808,13.495596360539562,9.0,11.857142857142858,1.2058508968418162,-0.4137920857511437,-0.5017232233713325,0.5714285714285714,0.2862455088544937,0.0004884004884004,0.4044392333118445,1.425,6.2375,H
1.0,0.2791906668942979,0.4,0.1,4.0,1.4285714285714286,0.8088909702511151,0.9582478808200224,7.0,13.652010506029647,1.1428571428571428,7.0,4.078503455171084,11.880373178591125,8.0,7.857142857142857,0.6566031266094207,-0.0181246714209559,0.2173614599195261,0.4285714285714285,0.4844302296623511,0.5171065493646139,0.4547067780191284,1.91,3.3375,H
